Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.3947;-0.180298;1.3948;0;1.3951;0;
1.7003;-0.158552;1.7004;0.1;1.7005;0.172298;
2.0055;-0.0739316;2.0057;0.2;2.0064;0.0484746;
2.308;0.213652;2.3082;0.3;2.3085;0.16926;
2.6105;-0.114174;2.6107;0.4;2.6108;0.12596;
2.913;0.0897719;2.9131;0.5;2.9135;0.467005;
3.2155;0.0845652;3.2156;0.6;3.2157;0.505202;
3.518;2.01419;3.5181;0.7;3.5183;0.591902;
3.82;4.31103;3.8201;0.8;3.8203;0.702427;
4.1236;6.42755;4.1238;0.9;4.1239;0.808917;
4.4256;8.50858;4.4257;1;4.4286;0.802839;
4.7321;10.6361;4.7322;1.1;4.7323;0.98297;
5.0341;13.0698;5.0343;1.2;5.0345;1.04412;
5.3376;15.8698;5.3378;1.3;5.3379;1.32793;
5.6395;18.059;5.6396;1.4;5.6397;1.38525;
5.9424;20.5847;5.9425;1.5;5.9427;1.373;
6.2444;23.6775;6.2445;1.6;6.2447;1.50215;
6.5469;26.1066;6.547;1.7;6.5471;1.55909;
6.85;28.0109;6.8501;1.8;6.8503;1.56852;
7.1525;31.207;7.1526;1.9;7.1533;1.7867;
7.4557;34.6946;7.4558;2;7.4565;1.9459;
7.7581;37.4383;7.7582;2.1;7.7583;2.02608;
8.0602;39.5373;8.0604;2.2;8.0607;1.97029;
8.3633;42.7207;8.3635;2.3;8.3637;2.20571;
8.6654;44.4516;8.6655;2.4;8.6658;2.41188;
8.9678;47.8842;8.968;2.5;8.9682;2.44203;
9.2704;50.4456;9.2706;2.6;9.2707;2.56934;
9.573;53.2134;9.5731;2.7;9.5733;2.562;
9.8748;56.1458;9.8751;2.8;9.8757;2.78251;
10.1785;58.1564;10.1792;2.9;10.1794;2.65197;
10.4816;61.4928;10.4818;3;10.4819;2.81386;
10.7853;64.076;10.7855;3.1;10.7857;2.96134;
11.088;66.2046;11.0882;3.2;11.0883;3.18462;
11.3901;69.2365;11.3902;3.3;11.3904;3.22212;
11.6931;72.5133;11.6932;3.4;11.6934;3.26843;
11.9952;75.043;11.9953;3.5;11.9955;3.43932;
12.2984;77.6626;12.2985;3.6;12.2988;3.45612;
12.6005;80.2324;12.6006;3.7;12.6008;3.58368;
12.9039;82.379;12.9041;3.8;12.9042;3.76538;
13.2064;85.581;13.2066;3.9;13.2067;3.79994;
13.5089;88.2535;13.509;4;13.5092;3.95255;
13.8108;91.7718;13.8115;4.1;13.8116;3.84331;
14.114;94.4968;14.1142;4.2;14.1144;4.142;
14.4166;96.2584;14.4167;4.3;14.4169;4.25884;
14.7189;98.7752;14.719;4.4;14.7193;4.1074;
15.0219;101.798;15.022;4.5;15.0221;4.38078;
15.324;103.912;15.3241;4.6;15.3242;4.49408;
15.6285;107.611;15.6286;4.7;15.6289;4.83208;
15.9325;109.959;15.9327;4.8;15.9328;4.62182;
16.2385;112.356;16.2386;4.9;16.2388;4.88365;
