Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.3946;0.216498;1.3947;0;1.3948;0;
1.6996;-0.428525;1.6997;0.1;1.7;-1.44762;
2.006;-0.299695;2.0061;0.2;2.0063;1.28412;
2.3119;-0.373266;2.312;0.3;2.3122;-0.712973;
2.6147;-0.192465;2.6149;0.4;2.6151;2.28015;
2.9167;-0.26089;2.917;0.5;2.9177;-1.3438;
3.2221;-0.472532;3.2222;0.6;3.2224;-1.34943;
3.5245;3.17771;3.5246;0.7;3.5247;1.00416;
3.8266;6.53752;3.8268;0.8;3.8276;-1.99238;
4.1301;9.5533;4.1302;0.9;4.1304;1.17916;
4.4321;12.0645;4.4322;1;4.4324;2.47885;
4.7355;15.0123;4.7357;1.1;4.7358;-1.2878;
5.0378;19.1298;5.0384;1.2;5.0388;-0.638108;
5.3409;20.6881;5.3411;1.3;5.3413;-2.43153;
5.6437;23.8899;5.6438;1.4;5.6445;1.92336;
5.9471;26.903;5.9472;1.5;5.9475;0.268666;
6.251;29.3926;6.2511;1.6;6.2515;0.899119;
6.5545;32.3354;6.5546;1.7;6.5547;-2.56437;
6.8564;34.5327;6.8566;1.8;6.8568;1.53913;
7.1593;38.0185;7.1595;1.9;7.1597;2.08258;
7.4618;41.5341;7.462;2;7.4622;-2.34589;
7.7647;43.9479;7.7648;2.1;7.7651;-0.890386;
8.0667;46.5236;8.0668;2.2;8.067;-2.58467;
8.3696;49.0585;8.3698;2.3;8.3699;-0.977033;
8.672;52.1902;8.6721;2.4;8.6725;-3.56202;
8.9747;54.4635;8.9748;2.5;8.975;1.52;
9.2767;57.8954;9.2769;2.6;9.277;-3.66114;
9.5797;60.2083;9.5798;2.7;9.58;-2.17527;
9.8818;63.752;9.8819;2.8;9.882;-3.86922;
10.185;65.9867;10.1851;2.9;10.1852;-2.85382;
10.4868;69.3308;10.4869;3;10.487;-4.28245;
10.7896;71.8949;10.7897;3.1;10.79;-3.14613;
11.0921;75.8826;11.0921;3.2;11.0923;-3.472;
11.3946;78.1555;11.3947;3.3;11.3948;-3.37945;
11.6968;81.3347;11.6969;3.4;11.6976;2.36934;
12.0001;84.0415;12.0002;3.5;12.001;-3.90978;
12.3036;86.7754;12.3037;3.6;12.3039;4.96573;
12.6058;89.3898;12.6059;3.7;12.6061;-3.12523;
12.9078;92.0258;12.9085;3.8;12.9086;-4.29656;
13.2107;94.683;13.2108;3.9;13.2143;-2.41246;
13.5164;97.2599;13.5165;4;13.5167;5.2509;
13.8191;100.749;13.8192;4.1;13.82;-3.66438;
14.1257;103.813;14.1258;4.2;14.126;3.98762;
14.4322;105.862;14.4323;4.3;14.4325;5.97165;
14.7392;109.324;14.7393;4.4;14.7396;5.97829;
15.0452;111.845;15.0453;4.5;15.0454;3.83259;
15.3511;114.922;15.3512;4.6;15.3513;-5.32406;
15.6569;117.762;15.6571;4.7;15.6572;-4.92301;
15.9628;121.384;15.9635;4.8;15.9636;3.76385;
16.2691;122.927;16.2692;4.9;16.2693;6.43521;
