Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.3948;0.0293245;1.395;0;1.3956;0;
1.701;-0.0207216;1.7012;0.1;1.7013;-0.0473659;
2.0062;-0.0555106;2.0063;0.2;2.0064;0.0374297;
2.3115;-0.0399095;2.3117;0.3;2.3118;0.227209;
2.6165;-0.0161363;2.6167;0.4;2.6168;0.356311;
2.9224;0.00836651;2.9226;0.5;2.9229;0.278513;
3.2281;0.466071;3.2282;0.6;3.2284;0.501069;
3.5299;2.38051;3.53;0.7;3.5307;0.606584;
3.8328;4.87652;3.8329;0.8;3.8331;0.592725;
4.1348;7.06558;4.1349;0.9;4.135;0.815992;
4.4372;8.93757;4.4373;1;4.4375;0.960375;
4.7408;11.3324;4.741;1.1;4.7412;0.963165;
5.0433;14.0807;5.0434;1.2;5.0436;1.15567;
5.3458;16.2818;5.3459;1.3;5.3466;1.35814;
5.6491;18.6641;5.6493;1.4;5.6494;1.26069;
5.9515;20.7761;5.9516;1.5;5.9523;1.38068;
6.2548;23.3996;6.2549;1.6;6.2556;1.50815;
6.5573;26.2943;6.5574;1.7;6.5577;1.62069;
6.8593;29.3151;6.8594;1.8;6.8596;1.71333;
7.1619;32.013;7.162;1.9;7.1622;1.83338;
7.4638;34.8966;7.4639;2;7.464;1.93788;
7.7661;37.2454;7.7662;2.1;7.7669;1.93148;
8.0692;39.4658;8.0693;2.2;8.0695;2.33566;
8.3718;42.8702;8.372;2.3;8.3721;2.29735;
8.6747;45.394;8.6749;2.4;8.6757;2.26691;
8.9778;47.7068;8.9779;2.5;8.978;2.32019;
9.2798;50.8332;9.28;2.6;9.2806;2.46751;
9.5829;53.4579;9.583;2.7;9.5832;2.53738;
9.885;56.5143;9.8857;2.8;9.8864;2.75317;
10.1886;58.8623;10.1887;2.9;10.1889;2.73154;
10.4913;61.1671;10.4914;3;10.4921;2.92003;
10.795;63.7968;10.7957;3.1;10.7959;2.80052;
11.0975;66.3543;11.0977;3.2;11.0978;3.03874;
11.3994;69.3503;11.3995;3.3;11.3997;3.15935;
11.702;71.6945;11.7021;3.4;11.7022;3.35375;
12.0045;75.3517;12.0046;3.5;12.0048;3.47993;
12.3073;77.616;12.3074;3.6;12.3076;3.50875;
12.6098;79.7707;12.6099;3.7;12.6105;3.53578;
12.9128;82.9243;12.9129;3.8;12.9131;3.68376;
13.2159;86.0821;13.216;3.9;13.2162;3.78597;
13.5185;89.6424;13.5187;4;13.5188;4.02368;
13.822;92.2227;13.8221;4.1;13.8222;4.0511;
14.124;94.3312;14.1241;4.2;14.1248;4.10446;
14.4282;97.6576;14.4283;4.3;14.4287;4.08954;
14.7315;99.8817;14.7316;4.4;14.7318;4.25201;
15.0335;102.225;15.0336;4.5;15.0338;4.32836;
15.3362;105.38;15.3363;4.6;15.3364;4.48992;
15.6381;107.636;15.6382;4.7;15.6383;4.73067;
15.9407;109.952;15.9409;4.8;15.941;4.70606;
16.2438;112.56;16.244;4.9;16.2442;4.76358;
