Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.3894;-0.0240128;1.3895;0;1.3896;0;
1.6938;-0.0265445;1.694;0.1;1.6941;1.16824;
1.9992;0.164743;1.9995;0.2;1.9997;0.997377;
2.3051;0.071906;2.3058;0.3;2.3059;-1.20692;
2.6116;-0.0686798;2.6117;0.4;2.6119;1.48625;
2.9138;-0.0864927;2.9139;0.5;2.9141;-1.65137;
3.2168;1.09132;3.217;0.6;3.2171;-1.31282;
3.5199;3.86725;3.5201;0.7;3.5208;1.84278;
3.8227;7.12499;3.8228;0.8;3.823;2.42294;
4.1246;10.0134;4.1248;0.9;4.1249;0.563762;
4.4273;12.5939;4.4274;1;4.4276;2.53732;
4.7319;15.3787;4.732;1.1;4.7322;-2.65638;
5.0339;18.1777;5.034;1.2;5.0342;1.21923;
5.3381;21.2374;5.3383;1.3;5.3385;1.16862;
5.6407;24.2815;5.6409;1.4;5.641;-2.70224;
5.9426;27.1291;5.9427;1.5;5.9428;0.762137;
6.246;29.4272;6.2461;1.6;6.2465;-0.791692;
6.5489;32.3748;6.5491;1.7;6.5494;3.33933;
6.852;35.5671;6.8522;1.8;6.8523;1.57256;
7.1539;37.8476;7.154;1.9;7.1542;3.44603;
7.4571;41.488;7.4573;2;7.4574;2.61357;
7.7592;44.0749;7.7594;2.1;7.7601;-1.52976;
8.0628;47.3216;8.063;2.2;8.0631;3.67911;
8.3651;49.2833;8.3658;2.3;8.3659;1.82953;
8.6676;52.5174;8.6678;2.4;8.6685;2.45563;
8.971;55.3153;8.9711;2.5;8.9713;-3.21464;
9.2736;59.0152;9.2738;2.6;9.2739;1.1583;
9.5762;61.3401;9.5763;2.7;9.5765;-3.79132;
9.8783;64.4352;9.8784;2.8;9.8786;-1.1117;
10.1817;66.9036;10.1819;2.9;10.182;-3.54453;
10.4839;70.3975;10.4841;3;10.4843;-2.97452;
10.787;72.7463;10.7872;3.1;10.7874;1.98074;
11.0889;75.6552;11.0891;3.2;11.0892;3.70801;
11.3922;78.5491;11.3923;3.3;11.3925;1.96859;
11.6941;80.7957;11.6943;3.4;11.6944;4.45148;
11.9968;84.1123;11.997;3.5;11.9971;2.0595;
12.2987;87.0155;12.2988;3.6;12.299;4.50038;
12.6022;90.0958;12.6024;3.7;12.6025;3.10762;
12.9042;92.7221;12.9044;3.8;12.9045;-4.96812;
13.2072;95.6006;13.2073;3.9;13.2075;-3.72423;
13.509;98.6409;13.5091;4;13.5093;-5.3867;
13.813;101.428;13.8132;4.1;13.8133;-5.39184;
14.1169;104.26;14.117;4.2;14.1207;-5.27219;
14.4227;106.84;14.4228;4.3;14.423;3.30009;
14.7286;109.832;14.7288;4.4;14.729;-5.2799;
15.0359;112.352;15.036;4.5;15.0361;-5.28116;
15.3413;114.807;15.3414;4.6;15.3415;3.9634;
15.6466;118.18;15.6468;4.7;15.647;-5.85692;
15.9527;121.55;15.9529;4.8;15.9531;-4.74495;
16.2584;124.579;16.2586;4.9;16.2593;3.59923;
